"RBD","NOMBRE_ESTA","DEPENDENCIA","SOSTENEDOR","REGION","COMUNA","DIRECCION","TELEFONO","E-MAIL","Discapacidad Auditiva","Discapacidad Intelectual","Discapacidad Visual","Trastornos Específicos del Lenguaje","Trastornos Motores","Autismo","Graves Alteraciones en la Capacidad de Relación y Comunicación"
8416,"ESC. DIF. NICOLAS MLADINIC DOBRONIC","Municipal Corporación","Corporacion Municipal De Puerto Natales",12,"NATALES","OHIGGINS N° 338","61 - 2411322","escuelanmladinic@cormunat.cl","no","si","no","no","no","no","no"
8443,"ESCUELA ESPECIAL ROTARIO PAUL HARRIS","Municipal Corporación","Corporacion Municipal De Punta Arenas",12,"PUNTA ARENAS","ANGAMOS N° 1321","61 - 613493","direccion.epharris@cormupa.cl","no","si","no","si","no","no","no"
8585,"ESC. CENTRO DE CAPACITACION LABORAL SANTIAGO","Municipal Daem","Ilustre Municipalidad De Santiago",13,"SANTIAGO","GAY N° 1898","2 - 6988898","d84.ccl@gmail.com","no","si","no","no","no","no","no"
8586,"ESCUELA DIFERENCIAL JUAN SANDOVAL C","Municipal Daem","Ilustre Municipalidad De Santiago",13,"SANTIAGO","LORD COCHRANE N° 1819","2 - 25567488","e.jsandovalc@munistgo.cl","no","si","no","no","no","si","no"
8720,"ESCUELA PARTICULAR ESPECIAL ALOA","Particular Subvencionado","Escuela Especial Aloa Spa",13,"CONCHALÍ","TENIENTE PONCE N° 1639","2 - 7369304","bhapo13_1@hotmail.com","no","si","no","si","no","no","no"
8721,"ESCUELA PARTICULAR ESPECIAL CEDIN","Particular Subvencionado","Soc.Cent.De Est.Y Des.Integral Del Nino Ltda.",13,"SANTIAGO","JOSE TORIBIO MEDINA  N°31-33 SANTIAGO","2 - 3640379","escuelacedin@yahoo.es","no","si","no","si","no","no","no"
8725,"ESCUELA PARTICULAR ESPECIAL STA.JULIANA","Particular Subvencionado","Sociedad Educacional Crisol Ltda.",13,"RECOLETA","AVDA.MEXICO N° 1089","2 - 26213834","stajuliana973@yahoo.es","no","si","no","no","no","no","no"
8832,"ESC. DE EDUC. DIFERENCIAL PAUL HARRIS","Municipal Corporación","Corp.De Educacion Y Salud De Las Condes",13,"LAS CONDES","AVENIDA CRISTOBAL COLON N° 9188","2 - 27207350","colegiopaulharris@corplascondes.cl","no","si","no","no","no","no","no"
8837,"ESCUELA DE ED.DIFERENCIAL LO BARNECHEA","Municipal Daem","Ilustre Municipalidad Lo Barnechea",13,"LO BARNECHEA","AV. LO BARNECHEA N° 1648","2 - 2166120","diferecialmadretierra@lobarnechea.cl","no","si","no","no","no","si","no"
8934,"ESCUELA ABELARDO ITURRIAGA JAMETT","Municipal Corporación","Corporacion De Des.Social De Providencia",13,"PROVIDENCIA","VALENZUELA CASTILLO  N° 1793","2 - 32036751","mbunster@colegioabelardoiturriaga.cl","no","no","no","si","no","no","no"
8936,"ESCUELA ESPECIAL MC-KAY","Particular Subvencionado","Sociedad Educacional Perla Mc Kay E Hijas Ltd",13,"CURACAVÍ","FRANCISCO SAAVEDRA 1 N° 1975","2 - 28363256","esc1151@gmail.com","no","si","no","si","no","no","no"
9010,"ESCUELA D-231 ESPECIAL DE DESARROLLO","Municipal Corporación","Corporacion De Desarrollo De La Reina",13,"LA REINA","AV. LARRAIN  N° 6374","2 - 27844474","pcontreras@corp-lareina.cl","no","si","no","no","no","no","si"
9026,"ESCUELA ESPECIAL CTI.LOS COPIHUES   N.3","Particular Subvencionado","Fundacion Educacion Coanil",13,"SAN JOAQUÍN","ALCALDE PEDRO ALARCON N° 607","2 - 5121900","ueloscopihues@coanil.cl","no","si","no","no","no","no","no"
9083,"ESCUELA DIFERENCIAL MUNICIPAL AMAPOLAS","Municipal Corporación","Corp.Municipal Desarrollo Social De Nunoa",13,"ÑUÑOA","AMAPOLAS N° 4899","2 - 23793138","colegioamapolas@gmail.com","no","no","no","no","no","no","no"
9086,"ESCUELA AURORA DE CHILE","Municipal Corporación","Corp.Municipal Desarrollo Social De Nunoa",13,"ÑUÑOA","AVDA. SUECIA N° 2799","2 - 4816416","colegio.aurora@gmail.com","no","si","no","no","no","no","no"
9128,"ESCUELA DE ED.DIFERENCIAL HELLEN KELLER","Municipal Corporación","Corp.Municipal Desarrollo Social De Nunoa",13,"ÑUÑOA","ROSITA RENARD N° 1179","2 - 24816410","info@chk.cl","no","no","si","no","no","no","no"
9137,"ESCUELA PARTICULAR ESPECIAL CEINTRALE","Particular Subvencionado","Soc.Centro Integral Trat. Lenguaje Ltda.",13,"ÑUÑOA","BROWN SUR N° 344","2 - 2235410","ceintrale@gmail.com","no","no","no","si","no","no","no"
9153,"CENTRO DE CAPACITACIÓN LABORAL PARA DEFICIENTES MENTALES","Particular Subvencionado","Fundacion Educacion Coanil",13,"ÑUÑOA","JULIO PRADO N° 1761","2 - 2045163","cclcastanos@coanil.cl","no","si","no","no","no","no","si"
9183,"ESC.PARA SORDOS DR. OTTE GABLER","Particular Subvencionado","Instituto De La Sordera",13,"SAN JOAQUÍN","EL PINAR N° 125","2 - 25561263","vdelapaz@institutodelasordera.cl","si","no","no","no","no","no","no"
9189,"TALLER DIFER.DOCTOR ALFONSO ASENJO G.","Particular Subvencionado","Liga Chilena Contra La Epilepsia",13,"ÑUÑOA","INES PALMA N° 263","2 - 22040203","mariaelena.moya@liche.cl","no","si","no","no","no","no","no"
9204,"ESCUELA PARTICULAR ESPECIAL PENALOLEN","Particular Subvencionado","Soc. Oriana Antonia Concha E Hijos Y Cia Ltda",13,"PEÑALOLÉN","AV.EL PARQUE N° 1284","2 - 2794796","alucema@gmail.com","no","si","no","si","no","no","no"
9212,"ESCUELA PARTICULAR INST.P.DE VALDIVIA","Particular Subvencionado","Sociedad Educ. Esc. Especial N+ 874 Ltda",13,"MACUL","EL LIBANO  N° 2863","2 - 22714850","amozojul@hotmail.com","no","si","no","no","no","no","no"
9240,"ESCUELA ESPECIAL N°649 MIGUEL ARCANGEL","Particular  no Subvencionado","Coorporación Rudolf Steiner",13,"ÑUÑOA","MANUEL COVARRUBIAS N° 3782","2 - 2230556","colegiomiguelarcangel@gmail.com","no","si","no","no","no","no","no"
9311,"COLEGIO PARTICULAR ISLA WELLINGTON","Particular Subvencionado","Sociedad Educacional Isla Wellington Ltda.",13,"LA FLORIDA","AVENIDA TRINIDAD N° 1595","2 - 2817491","colwellington2016@gmail.com","no","si","no","no","no","no","no"
9348,"ESCUELA PARTICULAR ESPECIAL NUEVO RUMBO","Particular Subvencionado","Soc.Educ.Integrada Limitada",13,"LA FLORIDA","ROJAS MAGALLANES N° 490","2 - 2813648","escuelanvorumbo@gmail.com","no","si","no","no","no","no","no"
9376,"ESCUELA ESPECIAL INST.VICUNA MACKENNA","Particular Subvencionado","Sociedad Araya Carrasco Limitada",13,"LA FLORIDA","SAN PEDRO N° 38","2 - 23266982","insvima@gmail.com","no","si","no","no","no","no","no"
9430,"CENTRO EDUC. PROVINCIA DE ÑUBLE","Municipal Corporación","Corp.De Desarrollo Social De San Joaquin",13,"SAN JOAQUÍN","AVDA. SILVA N° 528","2 - 25962288","liceo460@gmail.com","no","no","no","si","no","no","no"
9444,"ESCUELA ESPECIAL LOS CEDROS DEL LIBANO","Municipal Corporación","Corporacion Municipal De San Miguel",13,"SAN MIGUEL","RICARDO MORALES N° 3370","2 - 4812784","cedros@corporacionsanmiguel.cl","no","si","no","no","no","no","no"
9499,"ESCUELA HOGAR DE CIEGOS SANTA LUCIA","Particular Subvencionado","Sociedad Protectora De Ciegos Sta.Lucia",13,"LA CISTERNA","FERNANDO RIOJA N° 730","2 - 25261145","secretaria@santalucia.cl","no","no","si","no","no","no","no"
9607,"ESCUELA DIFERENCIAL SANTA TERESITA DE LOS AND","Municipal Daem","Ilustre Municipalidad De La Granja",13,"LA GRANJA","AVENIDA PADRE ESTEBAN GUMUCIO VIVES Nº 0323","2 - 5254791","standes1@hotmail.com","no","no","no","si","no","no","no"
9626,"ESCUELA BAS. REINA GUILLERMINA DE HOLANDA","Municipal Daem","Ilustre Municipalidad De La Granja",13,"LA GRANJA","CORONEL N° 8160","2 - 22814499","reinaguille546@yahoo.es","no","si","no","no","no","no","no"
9635,"ESCUELA ESPECIAL PART. EDUCADORAS AGAZZI","Particular Subvencionado","Geovana María Silva Vergara",13,"LA GRANJA","MANUEL RODRIGUEZ N° 429","2 - 5168108","educadorasagazzi@gmail.com","no","si","no","no","no","no","no"
9667,"ESC.PART. ESPECIAL NUESTRO MUNDO","Particular Subvencionado","Alain Naul Carrión Rosales",13,"SAN RAMÓN","AMERICA DEL NORTE N° 2001","2 - 5110934","espnm2001@yahoo.com","no","si","no","no","no","no","no"
9728,"ESCUELA DIFERENCIAL PARA NINOS SORDOS","Municipal Daem","Ilustre Municipalidad El Bosque",13,"EL BOSQUE","AVENIDA PADRE HURTADO N° 9839","22 - 5582384","sullivan_elbosque@yahoo.es","si","no","no","no","no","no","no"
9772,"ESCUELA ESPECIAL NTA SENORA DE LAS PENAS","Particular Subvencionado","Soc. Educacional Nuestra Sra. De Las Penas",13,"PEDRO AGUIRRE CERDA","AVDA. LOS CERRILLOS  N° 6140","2 - 5238389","escuelaespecial310@gmail.com","no","si","no","si","no","no","no"
9825,"ESCUELA PARTICULAR ESPECIAL G.MISTRAL","Particular Subvencionado","Entidad Individual Educacional Escuela Especial Gabriela Mistral Eie",13,"LA CISTERNA","ARTURO PRAT N° 39","2 - 5583266","gmistral192@yahoo.com","no","si","no","no","no","no","no"
9893,"ESCUELA ESPECIAL ANDALUE","Municipal Corporación","Corp.Munic.Serv.Y Des. Social Maipu.",13,"MAIPÚ","SAN JOSE N° 860","2 - 5859234","rosa.urbina@codeduc.cl","no","si","no","no","no","no","si"
9902,"ESCUELA PARTICULAR ESPECIAL DON ORIONE","Particular Subvencionado","Congr.Relig. Pequena Obra Divina Providencia",13,"CERRILLOS","AVENIDA DON ORIONE  N° 7306","2 - 25395874","pilar.flores.v@hotmail.com","no","si","no","no","no","no","no"
9963,"COLEGIO PARTICULAR ESPECIAL JUAN XXIII","Particular Subvencionado","Sociedad Leon Y Martinez Ltda.",13,"CERRILLOS","DR. VARGAS SALCEDO  N° 1471","2 - 25382905","escuelajuan23@gmail.com","no","si","no","si","no","no","no"
9968,"ESCUELA ESPECIAL EDUCACIONAL AGAZZI","Particular Subvencionado","Geovana María Silva Vergara",13,"MAIPÚ","CHACABUCO  N° 756","2 - 25310677","anamarianunez@vtr.net","no","si","no","no","no","no","no"
10056,"ESCUELA DIFERENCIAL LOS LIRIOS","Particular Subvencionado","Fundacion Educacion Coanil",13,"QUINTA NORMAL","ELOY ROSALES N° 4695","2 - 7731437","ueloslirios@coanil.cl","no","si","no","no","no","si","no"
10127,"ESC.DE EDUCACION DIFERENCIAL QUILLAHUE","Municipal Corporación","Corporacion Municipal De Lo Prado",13,"LO PRADO","GENERAL BUENDIA N° 350","2 - 23620871","escuelaquillahue@gmail.com","no","si","no","no","no","si","no"
10176,"ESCUELA PARTICULAR ESPECIAL RENACER","Particular Subvencionado","Escuela Especial Diferencial Renacer Ltda.",13,"LO PRADO","AVENIDA PORTALES  N° 5904","2 - 7860634","renacer_934@yahoo.com","no","si","no","no","no","no","no"
10234,"ESCUELA ESPECIAL PARTICULAR ESPERANZA","Particular Subvencionado","Sociedad Educacional Esperanza Limitada",13,"RENCA","ERNESTO MOUAT N° 4181","2 - 26411948","esperanzarenca@gmail.com","no","si","no","si","no","no","no"
10293,"ESCUELA ESP. HUMBERTO ARANDA IRRIBARREN","Municipal Corporación","Coresam Conchali",13,"CONCHALÍ","PASAJE USPALLATA N° 1464","2 - 27362068","escuelaespecial_e153@hotmail.com","no","si","no","no","no","no","no"
10309,"ESCUELA EDUC.DIF. STA. TERESA DE AVILA","Municipal Daem","Ilustre Municipalidad De Recoleta",13,"RECOLETA","AV. EINSTEIN N° 784","2 - 9457058","escuela_santateresa@hotmail.com","no","si","no","no","no","no","no"
10353,"ESCUELA ESPECIAL PARTICULAR LA PIRAMIDE","Particular Subvencionado","Corporacion Educacional Nueva La Piramide",13,"RECOLETA","URANIO N° 512","23 - 2304810","lapirami@gmail.com","no","si","no","no","no","no","no"
10362,"ESCUELA PARTICULAR HNAS.AGAZZI","Particular Subvencionado","Sociedad Educacional Agassi Limitada",13,"CONCHALÍ","EL OLIVO  N° 1752","2 - 27286272","info@escuelasagazzi.cl","no","si","no","no","no","no","no"
10375,"ESCUELA PARTICULAR RUTH","Particular Subvencionado","Sociedad Educacional  Ruth Limitada",13,"CONCHALÍ","AVENIDA GENERAL GAMBINO  N° 4613","2 - 6264675","escuelaruth@gmail.com","no","no","no","si","no","no","no"
10386,"ESCUELA ESPECIAL BELLA ESPERANZA","Particular Subvencionado","Corporacion Educacional Bella Esperanza",13,"QUILICURA","JOSE FCO. VERGARA  N° 179","2 - 6271486","corporacionbellaesperanza2017@gmaail.com","no","si","no","no","no","no","no"
10402,"ESCUELA ESPECIAL ERNESTO SOTO NEGRETE","Municipal Corporación","Corp Munic Des Social Colina",13,"COLINA","SAN ALBERTO N° 112","22 - 8602636","esoto.negrete@gmail.com","no","si","no","no","no","no","no"
10416,"CENTRO DE TRATAMIENTO INTEGRAL LOS LAURELES","Particular Subvencionado","Fundacion Educacion Coanil",13,"COLINA","MARCOS GOYCOLEA INTERIOR LAURELES, EX ASENTAMIENTO STA ESTER S/N","2 - 28443578","ueloslaureles@coanil.cl","no","si","no","no","no","no","si"
10431,"ESC. ESPECIAL PADRE LUIS GUANELLA","Particular Subvencionado","Obra Don Guanella",13,"LAMPA","PANAMERICANA NORTE KILOMETRO 25 S/N","2 - 7331788","lguanel@yahoo.com","no","si","no","no","no","no","no"
10460,"CENTRO EDUCACIONAL NUEVA CREACION","Municipal Corporación","Corp Munic Educ Salud Y At Men Pte Alto",13,"PUENTE ALTO","SARGENTO MENADIER  N° 275","2 - 7975260","nuevacreacion2009@gmail.com","no","si","no","no","no","no","no"
10480,"ESCUELA PIERRE VAYER","Particular Subvencionado","Loiselle Y Cia Ltda",13,"PUENTE ALTO","PEDRO LAGOS  N° 380","2 - 8721475","colegiopierrevayer@yahoo.com.ar","no","si","no","no","no","no","no"
10577,"ESCUELA DE EDUCACION DIFERENCIAL","Municipal Daem","Corp. Municipal Educacion Y Salud San Bernardo",13,"SAN BERNARDO","FREIRE N° 328","2 - 7845360","ediferencial@corsaber.cl","no","si","no","no","no","no","no"
10623,"ESCUELA DIFERENCIAL JUAN SANDOVAL","Particular Subvencionado","Sociedad Educacional Juan Sandoval S.A.",13,"EL BOSQUE","JOSE MIGUEL CARRERA N° 11928","2 - 5280555","sultan1939@hotmail.com","no","si","no","no","no","no","no"
10655,"ESCUELA ESPECIAL DEFIC MENTAL CAMPOSANO","Municipal Corporación","Corporacion De Desarrollo Social De Buin",13,"BUIN","FRANCISCO JAVIER KRUGGER ALVARADO Nº 3721 LINDEROS","2 - 28216045","gloria.haquin@cbuin.cl","no","si","no","no","no","no","no"
10660,"ESCUELA HOGAR REHABILITACION DON ORIONE","Particular Subvencionado","Pequenas Hnas.Misioneras De La Caridad",13,"BUIN","CAMINO PADRE HURTADO N° 0399 ALTO JAHUEL","2 - 28213711","escuelahogardonorione@yahoo.es","no","si","no","no","no","no","no"
10661,"CENTRO DE EDUC.ESPECIAL HNO.BERNARDO","Particular Subvencionado","Congregacion Hnos. Inmaculada Concepcion",13,"BUIN","LO SALINAS N° 446","2 - 28216652","c.e.hermanobernardo@gmail.com","no","si","no","no","no","no","no"
10703,"ESCUELA ESTRELLA DE BELEN","Municipal Corporación","Corporacion Municipal De Educ Talagante",13,"TALAGANTE","BALMACEDA N° 613","22 - 8153282","pvera@corpotal.cl","no","si","no","no","no","no","no"
10755,"ESCUELA DIFERENCIAL ALEGRIA DE VIVIR","Municipal Daem","Ilustre Municipalidad De Penaflor",13,"PEÑAFLOR","MALLOQUITO  N° 1827","56 - 8123118","escuelaalegriadevivir@gmail.com","no","si","no","no","no","no","no"
10778,"ESCUELA SAN MIGUEL","Municipal Corporación","Corporacion Municipal De Melipilla",13,"MELIPILLA","CORREA N° 780","2 - 8323039","escuela.especial@cormumel.cl","no","si","no","no","no","no","no"
10839,"ESCUELA BASICA G-N°734 LAS MERCEDES","Municipal Corporación","Corporacion Municipal De Maria Pinto",13,"MARÍA PINTO","FUNDO LAS MERCEDES S/N","2 - 8354220","escuelag734@yahoo.es","no","no","no","si","no","no","no"
10884,"ESC. EDUCACION ESPECIAL LOS IBISCOS","Particular Subvencionado","Fundacion Educacion Coanil",15,"ARICA","GONZALO CERDA N° 1350","58 - 2222766","uelosibiscos@coanil.cl","no","si","no","no","no","si","no"
10889,"CENTRO TRAT. INTEG. LOS TAMARUGOS","Particular Subvencionado","Fundacion De Ayuda Al Nino Limitado Coanil",1,"IQUIQUE","TADEO HAENKE N° 2215","57 - 225190","meguiluz@coanil.cl","no","si","no","no","no","no","si"
10913,"CENTRO CAP.LAB. REINO DE BELGICA","Municipal Daem","Ilustre Municipalidad De Arica",15,"ARICA","PEDRO AGUIRRE CERDA N° 2223","58 - 2222616","felixjuanv@gmail.com","no","si","no","no","no","no","no"
10956,"ESCUELA DIFERENCIAL SANTA CECILIA","Particular Subvencionado","Empresa Educacional Santa Cecilia Eirl",2,"CALAMA","TALCA  N° 1890/1876","55 - 2824957","escuela.santacecilia.calama@gmail.com","no","si","no","si","no","no","no"
10973,"ESCUELA DE EDUCACION DIFERENCIAL CENTRO DE CAPACITACION ESPERANZA","Particular Subvencionado","Soc. Educacional Escuela Dif. Esperanza Ltda.",2,"ANTOFAGASTA","MARIO SILVA IRIARTE N° 380 - SECTOR AGRICOLA LA CHIMBA .","55 - 210872","contacto@escueladiferencialesperanza.cl","no","si","no","no","no","no","no"
10974,"ESCUELA EDUCACION DIFERENCIAL NUEVA LUZ","Particular Subvencionado","Corporacion Atencion Integral Al Ciego",2,"ANTOFAGASTA","COQUIMBO N° 965","55 - 251296","corporaciondelciego@gmail.com","no","no","si","no","no","no","no"
11178,"CENTRO EDUCACIONAL CENINES","Particular Subvencionado","Centro Integral Especial Limitada",5,"VALPARAÍSO","TOCORNAL N° 164 CERRO BARON","32 - 2215001","contacto@colegiocenines.cl","no","si","no","no","no","no","no"
11196,"CTRO.REC.ATENC.DIVERS.CRAD PAUL PERCY HARRIS","Municipal Daem","Ilustre Municipalidad De Cabildo",5,"CABILDO","POB.  NUEVA CABILDO.CALLE LOS OLIVOS N° 325","33 - 2761450","rosariocorcoll@gmail.com","no","si","no","no","no","no","no"
11205,"CENTRO EDUC.ESPECIAL ANN SULLIVAN","Particular Subvencionado","Agrup.Padres Y Amigos Personas Con Discap Men",5,"QUINTERO","LUIS COUSINO  N° 1164","32 - 2933901","colegioannsullivan@gmail.com","no","si","no","no","no","no","no"
11245,"COL.EDUC. ESPECIAL DR. ALBERT SCHWEITZER","Municipal Daem","Ilustre Municipalidad De Requinoa",6,"REQUÍNOA","ROMA N° 125","72 - 2551953","cedas@daemrequinoa.cl","no","si","no","no","no","no","no"
11318,"ESCUELA DIFERENCIAL SANTA ADRIANA","Particular Subvencionado","Corporación Educacional Santa Adriana De Parral",7,"PARRAL","ARTURO PRAT N°  528","73 - 2462210","sta_adriana@yahoo.es","no","si","no","no","no","no","no"
11330,"ESCUELA DIFERENCIAL SAN CLEMENTE","Municipal Daem","Ilustre Municipalidad De San Clemente",7,"SAN CLEMENTE","LAS PALMERAS N° 30","71 - 2621727","directordiferencial@gmail.com","no","si","no","no","no","no","no"
11338,"ESCUELA DIFERENCIAL ESPERANZA","Municipal Daem","Ilustre Municipalidad De Molina",7,"MOLINA","CALLE INDEPENDENCIA N° 2135","75 - 588191","escuela_esperanza@yahoo.es","no","si","no","no","no","no","no"
11350,"ESCUELA ESPECIAL BELLAVISTA","Particular Subvencionado","Sociedad Educacional Werner Ltda",7,"TENO","AVDA. BELLAVISTA, PARADERO 7-LAS ARAUCARIAS N° 20","75 - 2559391","fabiolawer@yahoo.es","no","si","no","no","no","no","no"
11401,"ESCUELA ESPECIAL CONSTITUCION","Particular Subvencionado","Sociedad Orge-Veloso Ltda",8,"CHILLÁN","CONSTITUCION N° 149","42 - 2222079","constitu149@yahoo.es","no","si","no","no","no","no","no"
11406,"ESCUELA BÁSICA Y TECNOLÓGICA DIFERENCIAL LAURA VICUÑA","Municipal Daem","Ilustre Municipalidad De Bulnes",8,"BULNES","CARLOS PALACIOS N° 640","42 - 2631299","escuelalauravicuna@daembulnes.cl","no","si","no","no","no","no","no"
11431,"ESCUELA DIFERENCIAL MARIA MONTESSORI","Particular Subvencionado","Servicios Educacionales Blanca Gomez Rivas Ltda.",8,"HUALPÉN","PJE. VARSOVIA N° 841 A.A. DEL CANTO","4 - 2423552","montedif@yahoo.es","no","si","no","no","no","no","no"
11520,"ESCUELA ESPECIAL AYELEN","Municipal Daem","Ilustre Municipalidad De Lautaro",9,"LAUTARO","CUATRO SUR Nº 175, POBLACIÓN SANTA ANA","45 - 2533174","viviailla@yahoo.com","no","si","no","no","no","no","no"
11529,"ESCUELA ESPECIAL LOS CANELOS","Particular Subvencionado","Fundacion Educacion Coanil",9,"ANGOL","CALLE DIECIOCHO N° 551","45 - 2712283","rcayul@coanil.cl","no","si","no","no","no","no","no"
11530,"ESCUELA ESPEC.RETARDO MENTAL AMMILLAN","Municipal Daem","Ilustre Municipalidad De Pitrufquen",9,"PITRUFQUÉN","AV. DOS ENERO  N° 1030","45 - 991150","escuelammillan@gmail.com","no","si","no","no","no","no","no"
11577,"ESCUELA ESPECIAL TALLER LABORAL MATICES","Particular Subvencionado","Sonia Cecilia Y David Aguilar Castro Limitada",10,"OSORNO","COCHRANE N° 418 1ª PISO","64 - 2249494","escuelaespecialtallerlab.297@gmail.com","no","si","no","no","no","no","no"
11675,"ESCUELA ESPECIAL DE LENGUAJE CAMPANELLA","Particular Subvencionado","Entrefonemas Limitada",8,"SAN PEDRO DE LA PAZ","LOS OLIVOS  N° 1515","41 - 2371179","paola.bernasconi.r@gmail.com","no","no","no","si","no","no","no"
11759,"ESCUELA ESPECIAL AMERICA DEL SUR","Particular Subvencionado","Luis Eduardo Vargas Cáceres",13,"CERRILLOS","SAN ANDRES N° 4575","2 - 6830717","spedro.amdelsur@gmail.com","no","si","no","no","no","no","no"
11768,"ESCUELA ESPECIAL PART RAYITO DE LUZ","Particular Subvencionado","Sociedad Educacional Escuela Especial Rayito De Luz Spa",13,"CONCHALÍ","DIEGO SILVA N° 1470","2 - 7342275","escuelarayitodeluz@yahoo.es","no","si","no","no","no","no","no"
11788,"ESCUELA ESPECIAL PARTICULAR LO HERMIDA","Particular Subvencionado","Sociedad Educacional Berrios Y Compañia Ltda.",13,"PEÑALOLÉN","AFLUENTE N° 1931","2 - 2727630","maisacal1104@yahoo.com","no","si","no","si","no","no","no"
11791,"ESC ESPECIAL NUESTRA SENORA DE LOURDES","Particular Subvencionado","Centro Educ. Carolina Cesped Cifuentes E.I.R.",13,"LA FLORIDA","MARIA ELENA  N° 892","2 - 22886851","nslourdes2004@hotmail.com","no","si","no","no","no","no","no"
11794,"ESCUELA ESPECIAL PARTICULAR VARESCA","Particular Subvencionado","Sociedad Educacional Escuela Varesca Ltda",13,"LA FLORIDA","DIAGONAL LOS CASTANOS  N° 5831","2 - 7911407","escuelavaresca@hotmail.com","no","si","no","si","no","no","no"
11800,"ESCUELA ESPECIAL PARTICULAR LAS ROSAS","Particular Subvencionado","Las Rosas Corporacion Educacional",13,"LA PINTANA","ROSA ESTER  N° 2650","22 - 5360511","escuela.lasrosas@gmail.com","no","si","no","no","no","no","no"
11804,"ESCUELA ESPECIAL NUEVA ALBORADA","Particular Subvencionado","Escuela Especial Nueva Alborada De La Pintana Eie",13,"LA PINTANA","CAUTIN N° 12595 VILLA SALVADOR ALLENDE","2 - 5422107","nuevaalborada329@gmail.com","no","si","no","no","no","no","no"
